NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2015-09-02 using ATNF Pulsar Catalogue web form
# Used "Short csv without errors" output
# Conditions "DM > 0 && P0 > 0"
# Return fields Name, RaJD, DecJD, P0, DM
# Removed second line (units) from resulting output
# Changed "#" in first line to "NUM"
105;B0339+53;55.803785;53.214841;1.934478;67.30;
106;J0348+0432;57.181829;4.536516;0.039123;40.46;
107;B0353+52;59.436731;52.616028;0.197030;103.71;
108;J0358+42;59.500000;42.100000;0.226478;46.00;
109;B0355+54;59.723819;54.220480;0.156382;57.14;
110;J0358+66;59.500000;66.666667;0.091507;62.30;
111;B0403-76;60.465333;-76.137167;0.545253;21.60;
112;B0402+61;61.625342;61.644733;0.594576;65.30;
113;J0407+1607;61.978912;16.121222;0.025702;35.65;
114;J0408+551;62.000000;55.000000;1.837000;55.00;
115;J0408+552;62.000000;55.000000;0.754000;64.00;
116;J0410-31;62.662500;-31.124722;1.878500;9.20;
117;J0413+58;63.250000;58.000000;0.687000;57.00;
118;B0410+69;63.981889;69.902747;0.390715;27.46;
119;J0417+35;64.429167;35.750000;0.654400;51.00;
120;J0417+61;64.250000;61.133333;0.440283;71.00;
121;J0419+44;64.750000;44.000000;1.241000;71.00;
122;J0421-0345;65.389817;-3.751836;2.161308;44.61;
123;J0426+4933;66.528387;49.560683;0.922475;85.00;
124;J0435+27;68.891667;27.733333;0.326279;53.00;
125;J0437-4715;69.316180;-47.252509;0.005757;2.64;
126;J0447-04;71.750000;-4.583333;2.188190;29.83;
127;J0448-2749;72.173198;-27.829649;0.450448;26.22;
128;J0449-7031;72.273625;-70.525472;0.479164;65.83;
129;B0447-12;72.536588;-12.801972;0.438014;37.04;
130;J0451-67;72.958333;-67.300000;0.245454;45.00;
131;B0450-18;73.142107;-17.989825;0.548939;39.90;
132;J0453+16;73.408333;16.016667;0.045800;30.00;
133;B0450+55;73.532294;55.728177;0.340729;14.49;
134;B0456-69;73.948125;-69.859528;0.320423;94.89;
135;J0456-69;74.125000;-69.166667;0.117073;103.00;
136;J0456-7031;74.010417;-70.518500;0.800132;100.30;
137;J0457+23;74.275000;23.566667;0.504900;59.00;
138;J0457-6337;74.282458;-63.625111;2.497012;27.50;
139;J0457-69;74.258333;-69.766667;0.231390;91.00;
140;J0458-0505;74.654671;-5.084750;1.883480;47.81;
141;J0458-67;74.745833;-67.716667;1.133900;97.00;
142;J0459-0210;74.966422;-2.168509;1.133076;21.02;
143;B0458+46;75.519004;46.901692;0.638565;42.19;
144;B0502-66;75.710542;-66.299667;0.691251;68.90;
145;J0509+08;77.350000;8.950000;0.004100;38.00;
146;J0510+38;77.495833;38.200000;0.076564;69.00;
147;J0511-6508;77.985417;-65.143472;0.322062;25.66;
148;J0514-4002A;78.527886;-40.046916;0.004991;52.15;
149;J0517+22;79.291667;22.266667;0.222344;20.00;
150;J0519+44;79.750000;44.000000;0.515000;52.00;
151;J0519+54;80.000000;54.416667;0.340194;43.00;
152;J0519-6932;79.945487;-69.539856;0.263212;119.40;
153;J0520-2553;80.150772;-25.886748;0.241642;33.77;
154;J0521-68;80.433333;-68.583333;0.433421;136.00;
155;J0522-6847;80.596083;-68.783944;0.674532;126.45;
156;B0523+11;81.485201;11.255300;0.354438;79.34;
157;B0525+21;82.217767;22.001111;3.745539;50.94;
158;B0529-66;82.462167;-66.877278;0.975725;103.20;
159;J0532-6639;83.247958;-66.660361;0.642743;69.30;
160;J0532-69;83.016667;-69.766667;0.574598;124.00;
161;J0533+0402;83.357583;4.033472;0.963018;83.70;
162;J0533+67;83.250000;67.000000;0.004390;57.40;
163;B0531+21;83.633221;22.014461;0.033392;56.79;
164;J0534-6703;83.650708;-67.063556;1.817565;94.70;
165;J0535-66;83.916667;-66.866667;0.210524;75.00;
166;J0535-6935;83.750000;-69.583333;0.200511;93.70;
167;B0538-75;84.128292;-75.732417;1.245856;17.50;
168;J0537-69;84.429167;-69.350000;0.112613;273.00;
169;J0538+2817;84.604405;28.285878;0.143158;39.57;
170;J0540+3207;85.154650;32.127028;0.524271;61.97;
171;B0540-69;85.046675;-69.331714;0.050499;146.50;
172;J0540-7125;85.128333;-71.425389;1.286015;29.41;
173;J0542-68;85.645833;-68.266667;0.425189;114.00;
174;B0540+23;85.790250;23.484722;0.245975;77.71;
175;J0543-6851;85.969625;-68.857028;0.708954;131.00;
176;J0545-03;86.250000;-3.166667;1.073930;67.20;
177;J0546+2441;86.619833;24.689167;2.843850;73.81;
178;J0555+3948;88.750000;39.800000;1.146906;37.00;
179;J0555-7056;88.757708;-70.946000;0.827838;73.40;
180;J0557+1550;89.381038;15.835013;0.002556;102.57;
181;B0559-57;90.193750;-57.948333;2.261365;30.00;
182;B0559-05;90.495759;-5.464044;0.395969;80.54;
183;J0605+37;91.250000;37.000000;0.002730;21.00;
184;J0608+00;92.204167;0.650000;1.076200;48.00;
185;J0609+2130;92.495359;21.500789;0.055698;38.73;
186;J0610-2100;92.556634;-21.007782;0.003861;60.67;
187;J0610+37;92.750000;37.300000;0.443861;39.00;
188;J0611+30;92.816667;30.266667;1.412090;45.30;
189;B0609+37;93.202861;37.360377;0.297982;27.14;
190;J0613-0200;93.433230;-2.013104;0.003062;38.78;
191;J0613+3731;93.300625;37.527306;0.619198;18.99;
192;B0611+22;93.571500;22.510000;0.334960;96.91;
193;J0614-3329;93.543116;-33.498366;0.003149;37.05;
194;J0614+83;93.500000;83.233333;1.039203;44.00;
195;J0621+0336;95.296754;3.612644;0.269954;72.59;
196;J0621+1002;95.342130;10.044095;0.028854;36.60;
197;J0621+25;95.250000;25.000000;0.002720;83.60;
198;J0623+0340;95.944829;3.668556;0.613760;54.00;
199;B0621-04;96.083451;-4.414015;1.039076;70.83;
200;J0625+10;96.437500;10.266667;0.498397;78.00;
201;J0627+0649;96.973452;6.831703;0.346523;86.60;
202;J0627+0706;96.934062;7.109250;0.475877;138.15;
203;J0627+16;96.804167;16.200000;2.180000;113.00;
204;J0628+0909;97.150762;9.153861;1.241421;88.30;
205;B0626+24;97.273867;24.262028;0.476623;84.19;
206;J0630-0046;97.612317;-0.768292;0.680575;97.30;
207;B0628-28;97.705852;-28.578550;1.244419;34.47;
208;J0631+1036;97.864683;10.617361;0.287800;125.36;
209;J0633+1746;98.475637;17.770252;0.237099;2.89;
210;J0633-2015;98.286917;-20.251972;3.253211;90.70;
211;J0636-4549;99.140600;-45.825728;1.984597;26.31;
212;J0636+5129;99.020194;51.483323;0.002869;11.11;
213;J0645+5158;101.496175;51.970811;0.008853;18.25;
214;J0645+80;101.500000;80.150000;0.657873;50.00;
215;J0646+0905;101.629146;9.097028;0.903913;149.00;
216;J0647+0913;101.815333;9.233194;1.234854;154.70;
217;J0652-0142;103.046275;-1.708417;0.924054;116.30;
218;B0643+80;103.312875;80.866728;1.214441;33.33;
219;J0656-2228;104.125862;-22.473764;1.224754;32.39;
220;J0656-5449;104.204125;-54.820811;0.183157;67.50;
221;J0658+0022;104.563371;0.376472;0.563295;122.00;
222;B0656+14;104.950558;14.239306;0.384891;13.98;
223;B0655+64;105.157508;64.303111;0.195671;8.77;
224;J0709-5923;107.385554;-59.398778;0.485268;65.00;
225;J0711+0931;107.900750;9.523611;1.214090;45.00;
226;J0711-6830;107.975941;-68.513222;0.005491;18.41;
227;J0719-2545;109.780750;-25.750064;0.974725;253.89;
228;J0721-2038;110.428770;-20.635295;0.015542;76.10;
229;J0725-1635;111.251684;-16.596060;0.424311;98.98;
230;J0726-2612;111.533833;-26.210583;3.442308;69.40;
231;J0729-1448;112.318542;-14.810222;0.251659;92.30;
232;B0727-18;112.384798;-18.611875;0.510160;61.29;
233;J0733-2345;113.352500;-23.765611;1.796250;194.00;
234;J0735-62;113.841667;-62.966667;4.862940;19.40;
235;J0737-2202;114.433629;-22.034811;0.320366;95.70;
236;J0737-3039A;114.463535;-30.661310;0.022699;48.92;
237;J0737-3039B;114.463535;-30.661310;2.773461;48.92;
238;J0737+69;114.250000;69.233333;6.824240;16.00;
239;B0736-40;114.634704;-40.711372;0.374920;160.80;
240;J0740+41;115.250000;41.066667;0.003139;20.83;
241;B0740-28;115.704408;-28.378822;0.166762;73.78;
242;J0742+66;115.500000;66.333333;0.002886;14.96;
243;B0743-53;116.259583;-53.856111;0.214836;122.30;
244;J0746-4529;116.747992;-45.490736;2.791025;134.57;
245;J0746+66;116.500000;66.600000;0.407670;28.00;
246;J0749-4247;117.456979;-42.795039;1.095452;104.59;
247;J0750+57;117.500000;57.000000;1.174875;27.00;
248;J0751+1807;117.788154;18.127390;0.003479;30.25;
249;B0751+32;118.669533;32.532278;1.442349;39.95;
250;B0756-15;119.621128;-15.469094;0.682265;63.33;
251;J0804-3647;121.092500;-36.793194;2.191987;196.00;
252;J0806+08;121.520833;8.283333;2.063100;46.00;
253;J0807-5421;121.946604;-54.357350;0.526644;165.03;
254;J0808-3937;122.048458;-39.631361;0.866349;165.00;
255;B0808-47;122.432875;-47.898650;0.547199;228.30;
256;J0812-3905;123.061675;-39.096922;0.482596;327.00;
257;B0809+74;123.747917;74.484917;1.292241;5.73;
258;J0815+0939;123.786567;9.664083;0.645161;52.67;
259;J0818-3049;124.705417;-30.825278;0.763742;133.70;
260;J0818-3232;124.608063;-32.541814;2.161259;131.80;
261;B0818-13;125.109924;-13.848850;1.238130;40.94;
262;J0820-3826;125.249717;-38.445244;0.124836;195.56;
263;J0820-3921;125.204625;-39.365472;1.073567;179.40;
264;B0818-41;125.064375;-41.243444;0.545446;113.40;
265;J0821-4221;125.435983;-42.357072;0.396728;270.60;
266;B0820+02;125.790700;1.986781;0.864873;23.73;
267;J0824+00;126.066667;0.450000;0.009900;35.00;
268;B0823+26;126.714097;26.623275;0.530661;19.45;
269;B0826-34;127.069273;-34.285291;1.848919;52.20;
270;J0831-4406;127.885125;-44.103306;0.311674;254.00;
271;J0834-4159;128.567917;-41.997500;0.121116;240.50;
272;J0834-60;128.708333;-60.583333;0.384645;20.00;
273;J0835-3707;128.762833;-37.130972;0.541404;112.30;
274;J0835-42;128.904167;-42.543611;0.738400;190.00;
275;B0833-45;128.835881;-45.176354;0.089328;67.99;
276;B0834+06;129.273508;6.170711;1.273768;12.89;
277;B0835-41;129.338257;-41.587325;0.751624;147.29;
278;J0838-2621;129.578338;-26.358208;0.308581;116.90;
279;J0838-3947;129.628333;-39.789444;1.703946;219.00;
280;B0839-53;130.141167;-53.543194;0.720612;156.50;
281;B0840-48;130.522375;-48.855778;0.644354;196.85;
282;J0843+0719;130.890917;7.313278;1.365860;36.60;
283;J0843-5022;130.791183;-50.378639;0.208956;178.47;
284;B0844-35;131.525252;-35.561292;1.116097;94.16;
285;J0847-4316;131.988875;-43.282444;5.977493;292.50;
286;J0848+16;132.220833;16.716667;0.452400;38.00;
287;J0849-6322;132.427458;-63.376389;0.367953;91.29;
288;B0841+80;132.256282;80.483090;1.602228;34.66;
289;B0853-33;133.910056;-33.527584;1.267536;86.64;
290;J0855-4644;133.900750;-46.737056;0.064686;238.20;
291;J0855-4658;133.831542;-46.972944;0.575072;472.70;
292;B0855-61;134.247125;-61.631472;0.962509;95.00;
293;J0857-4424;134.479829;-44.402867;0.326774;184.43;
294;J0900-3144;135.183140;-31.741917;0.011110;75.70;
295;J0901-4624;135.417167;-46.413472;0.441995;198.80;
296;B0901-63;135.635000;-63.420000;0.660313;76.00;
297;B0903-42;136.246667;-42.770556;0.965171;145.80;
298;B0904-74;136.045000;-74.995222;0.549553;51.10;
299;J0905-4536;136.349583;-45.614722;0.988281;179.70;
300;J0905-5127;136.466342;-51.463531;0.346287;196.43;
301;J0905-6019;136.313521;-60.322794;0.340854;91.40;
302;B0905-51;136.816250;-51.966458;0.253556;103.72;
